Day,Weekday,Hour,E_LastHour,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12
05/23/22,0,15,8.590433333333333,2.3209946,1.9338746,1.6682322,1.5219877,0.8215864,0.6640677,0.37024397,0.06392599,0.0026399419,0.017227937,0.026588721,0.0062972894
05/23/22,0,16,10.220958333333334,4.996271,3.1821969,2.6024964,2.2705164,1.4253384,0.8255044,0.50625277,0.045866393,0.000543724,0.01605597,0.07371415,0.023108955
05/23/22,0,17,5.627641666666667,2.6782975,1.8950183,1.5556505,1.4268768,0.7833705,0.6233865,0.477739,0.122706525,0.018705368,0.084230624,0.16284898,0.030187905
