Day,Weekday,Hour,E_LastHour,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12
04/25/22,0,18,4.040208333333334,1.5813882,1.1106063,0.8711673,0.9890019,0.6452752,0.56262255,0.30892175,0.18925221,0.13013783,0.15330999,0.1415228,0.11134556
04/25/22,0,19,0.06419999999999981,0.85053015,0.84108835,0.74131954,1.1465397,0.86431265,0.562196,0.39917597,0.15239596,0.11878865,0.54966843,1.1172038,0.61569446
04/25/22,0,20,0.0,0.34128076,0.20224236,0.13944146,0.22076407,0.19840443,0.129282,0.10188925,0.07021238,0.15845032,0.23728661,0.37681812,0.7096461
04/25/22,0,21,0.007216666666666677,0.49479032,0.28687966,0.1722787,0.34009767,0.447429,0.33906695,0.37797216,0.5509201,0.33231467,0.4076386,1.8493052,11.522797
04/25/22,0,22,0.0,0.43066993,0.3175826,0.33631063,0.53444046,0.4777554,0.42489937,0.5073511,0.5925682,0.69763845,2.7859516,12.547476,22.195244
04/25/22,0,23,0.0,0.34221417,0.36401635,0.30831596,0.3788088,0.42346722,0.535112,0.3814032,0.33529317,1.3126469,10.518455,20.56423,16.667734
04/26/22,1,0,0.0,0.36253446,0.68089753,0.58301973,0.5145256,0.4600514,0.65320045,0.95408416,3.1829286,14.298036,22.016085,16.968607,10.65099
04/26/22,1,1,0.0,0.47231796,0.6561883,0.59746164,0.8730266,0.9446986,1.1542777,3.4438612,13.86236,22.006845,16.576479,10.961392,8.594114
04/26/22,1,2,0.0,0.6908133,0.78768593,0.70800513,0.76232415,1.0148677,3.3272927,13.366602,22.05466,17.764992,10.84111,8.215646,7.285253
04/26/22,1,3,0.0,0.70799434,0.79184544,0.6116254,0.82617974,3.1993768,14.177368,22.07647,17.928753,11.903031,9.4286175,7.9127755,6.3057995
04/26/22,1,4,0.0,0.4184435,0.60021776,0.76790196,2.8017066,12.93852,20.306297,16.090313,10.703309,8.625925,7.3919725,6.4491673,5.666921
04/26/22,1,5,0.0,0.39831477,0.896458,2.8595674,13.879699,21.55258,16.874413,11.060941,8.83928,7.978096,7.0377593,6.370145,5.558766
04/26/22,1,6,0.0,0.86408436,3.6794057,14.186196,22.194927,17.748287,11.041666,8.66252,7.0796237,6.5404406,6.5557556,5.553915,3.4960895
04/26/22,1,7,0.007241666666666674,2.6322625,13.220738,21.633295,16.941738,11.3147335,8.970714,7.334742,5.9841194,5.6245656,5.462411,3.2387838,1.5332876
04/26/22,1,8,7.753158333333333,25.121447,25.606735,19.559351,14.295262,11.030206,8.098866,8.71883,4.021731,4.2730536,1.1326888,0.48508424,0.13931143
04/26/22,1,9,14.03655,17.993603,13.985192,9.102839,5.9827256,5.706798,6.624394,6.1887717,0.04394216,0.043554645,0.008029787,0.0014700149,0.004899611
04/26/22,1,10,18.26095,11.548356,6.1782274,4.5605636,2.5519989,1.5080175,1.0636644,0.7462383,0.071676806,0.007987194,0.022303242,0.036347795,0.009338088
04/26/22,1,11,11.825483333333333,6.7469354,5.548578,4.5781403,3.4176736,2.2182648,1.9175448,1.0342185,0.06246365,0.00037469273,0.008579016,0.021493962,0.0077344757
04/26/22,1,12,10.671358333333336,6.3086257,4.533866,3.6452222,3.2616444,2.137983,1.3277941,0.81234497,0.041680306,0.0001595795,0.007823323,0.03817527,0.015119246
04/26/22,1,13,15.8518,10.052073,5.518268,4.5825763,2.869392,1.8768593,1.4483243,0.65196323,0.09167203,0.004865397,0.034299616,0.08221063,0.015509994
04/26/22,1,14,20.55185,11.34843,5.9604053,4.9841247,2.4734008,1.7233299,1.4912765,0.6083098,0.04037414,0.001265517,0.0074059423,0.014183019,0.003783417
04/26/22,1,15,12.8476,5.96579,4.814872,3.8217037,2.7828765,1.8904592,1.6514108,0.8718272,0.031389255,6.359254e-05,0.002477908,0.0071136486,0.003359392
04/26/22,1,16,6.424291666666665,3.2994971,2.9909785,2.2601101,2.6077106,1.7543834,0.9501021,0.7338947,0.022440374,2.4980915e-05,0.0030567485,0.02171716,0.012603907
